;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
5;Pintadas;BA;1  2;de 0 para 2;0  0;de 2 para 0;66  39;-23,5%;8  22;+2.100%
6;Aracatu;BA;3  2;-50%;9  4;-60%;115  98;-22,2%;2  1;-66,7%
7;Itamari;BA;3  2;de 0 para 2;3  0;de 2 para 0;10  23;-11,5%;0  0;sem incidência
8;Matina;BA;2  2;de 0 para 2;5  1;-66,7%;180  143;-39,9%;4  7;+16,7%
9;Tapiramutá;BA;1  2;de 0 para 2;1  0;de 4 para 0;15  55;-37,5%;3  11;+37,5%
0;Ribeira do Amparo;BA;2  2;-77,8%;0  1;de 0 para 1;78  44;-38%;0  7;0%
1;Cordeiros;BA;1  2;0%;0  1;-87,5%;72  55;-31,3%;8  8;-38,5%
2;Mundo Novo;BA;8  2;+100%;5  0;de 2 para 0;90  52;-34,2%;2  16;+220%
3;Abaré;BA;6  2;0%;4  1;-66,7%;74  92;-1,1%;1  46;+170,6%
4;Monte Santo;BA;0  2;+100%;5  2;-77,8%;317  256;-42,6%;1  9;0%
5;Itagimirim;BA;11  2;-60%;6  2;de 0 para 2;28  19;-29,6%;0  7;+16,7%
6;Serra Preta;BA;8  2;0%;6  1;-50%;64  73;-26,3%;0  0;de 2 para 0
7;Feira da Mata;BA;4  2;de 0 para 2;5  1;-50%;30  33;-15,4%;0  1;0%
8;Guajeru;BA;2  2;+100%;3  1;-83,3%;84  47;-42,7%;19  5;-50%
9;Itanagra;BA;3  2;-50%;2  1;0%;8  6;-60%;0  6;de 0 para 6
0;Morpará;BA;2  1;-50%;1  3;+50%;25  46;-27%;0  6;de 0 para 6
1;Itiúba;BA;4  1;de 0 para 1;12  2;-60%;193  163;-41,2%;4  7;-22,2%
2;Serra Dourada;BA;10  1;de 0 para 1;15  1;0%;109  112;-30,4%;10  6;+200%
3;Fátima;BA;0  1;de 0 para 1;2  0;sem incidência;108  108;-8,5%;0  9;+80%
4;Vereda;BA;2  1;0%;1  1;-50%;32  20;-37,5%;1  27;+1.250%
5;Várzea Nova;BA;2  1;de 0 para 1;7  0;sem incidência;84  74;-37,8%;2  31;+1.450%
6;Presidente Jânio Quadros;BA;2  1;-66,7%;5  1;-75%;78  85;-34,1%;19  13;+550%
7;Baixa Grande;BA;7  1;-75%;7  1;-50%;123  78;-19,6%;0  3;-70%
8;Barro Preto;BA;7  1;0%;3  0;de 2 para 0;21  28;+27,3%;4  15;-16,7%
9;Angical;BA;3  1;0%;5  3;0%;87  110;-1,8%;22  24;+100%
0;Irajuba;BA;1  1;de 0 para 1;1  2;de 0 para 2;32  20;-25,9%;2  2;-33,3%
1;Olindina;BA;1  1;-80%;2  1;-66,7%;73  87;-15,5%;0  2;0%
2;Ibicuí;BA;3  1;-75%;8  4;0%;31  34;-24,4%;11  11;+37,5%
3;Alcobaça;BA;23  1;-87,5%;16  2;-66,7%;94  79;-37,3%;4  7;+250%
4;Ibipeba;BA;1  1;-50%;3  1;-75%;132  112;+1,8%;0  9;+125%
5;Taperoá;BA;2  1;-80%;12  0;de 6 para 0;229  79;-28,2%;0  31;-13,9%
6;Nova Fátima;BA;3  1;-66,7%;2  1;-90%;85  73;-6,4%;3  6;-45,5%
7;Aurelino Leal;BA;6  1;-75%;8  0;de 2 para 0;23  21;-40%;0  14;de 0 para 14
8;São Félix;BA;3  1;-75%;6  1;-85,7%;159  92;-32,4%;9  7;+16,7%
9;Sebastião Laranjeiras;BA;2  1;de 0 para 1;2  3;+200%;74  107;+8,1%;1  8;-50%
0;João Dourado;BA;1  1;0%;3  0;de 3 para 0;120  113;-30,7%;0  22;+4,8%
1;Jandaíra;BA;0  1;de 0 para 1;1  0;sem incidência;24  16;+33,3%;0  12;+1.100%
2;Jacaraci;BA;2  1;de 0 para 1;5  2;0%;134  125;-8,1%;16  0;sem incidência
3;Cairu;BA;3  1;-75%;7  1;-66,7%;109  28;-64,1%;0  13;-35%
4;Rio do Antônio;BA;2  1;de 0 para 1;4  1;-50%;133  105;-31,4%;0  0;sem incidência
5;Presidente Dutra;BA;0  1;0%;6  0;sem incidência;222  101;-22,3%;0  1;0%
6;Lafaiete Coutinho;BA;0  1;de 0 para 1;2  0;de 4 para 0;11  29;+3,6%;3  6;-33,3%
7;Salinas da Margarida;BA;5  1;-75%;5  2;-33,3%;259  63;-23,2%;0  27;+285,7%
8;Pé de Serra;BA;2  1;0%;3  2;-75%;87  88;-10,2%;1  4;-42,9%
9;Ituaçu;BA;15  1;-80%;9  0;de 3 para 0;99  86;-34,8%;15  13;-18,8%
0;Maraú;BA;6  1;-85,7%;3  1;-87,5%;44  54;-10%;0  3;-62,5%
1;Canápolis;BA;8  1;-50%;9  2;-71,4%;86  102;+1%;0  7;-22,2%
2;São José do Jacuípe;BA;0  1;0%;3  0;de 2 para 0;46  60;-48,3%;0  4;de 0 para 4
3;Uauá;BA;9  1;de 0 para 1;6  1;de 0 para 1;224  132;-35,3%;2  8;+100%
4;Arataca;BA;7  1;-50%;3  2;0%;27  17;-5,6%;0  0;sem incidência
5;Jaguaripe;BA;2  1;-66,7%;4  1;-90%;348  108;-41%;0  0;sem incidência
6;Wagner;BA;3  1;-50%;4  0;sem incidência;47  45;-15,1%;7  3;+200%
7;Utinga;BA;2  1;-50%;3  2;-50%;32  58;-32,6%;21  19;de 0 para 19
8;Mirangaba;BA;0  1;0%;4  0;sem incidência;121  51;-47,4%;3  3;de 0 para 3
9;Sítio do Mato;BA;1  1;0%;12  3;-66,7%;59  49;-31,9%;4  4;+33,3%
0;Mortugaba;BA;2  1;-66,7%;3  1;-83,3%;88  112;+20,4%;25  0;sem incidência
1;Cabaceiras do Paraguaçu;BA;1  1;de 0 para 1;3  0;de 3 para 0;193  80;-28,6%;0  39;+225%
2;Piripá;BA;0  1;0%;1  0;de 1 para 0;45  47;-32,9%;11  28;+12%
3;Itaquara;BA;1  1;-50%;3  1;0%;33  31;+10,7%;0  3;0%
4;Uibaí;BA;3  1;de 0 para 1;5  1;-75%;190  66;-10,8%;0  0;de 7 para 0
5;Teolândia;BA;4  1;-50%;23  2;-66,7%;109  74;-34,5%;0  64;-14,7%
6;Boquira;BA;3  1;-50%;24  3;+50%;103  177;-19,5%;0  9;+80%
7;Santanópolis;BA;6  1;0%;2  1;-50%;94  47;-55,2%;0  6;de 0 para 6
8;Jeremoabo;BA;3  1;-50%;7  1;-50%;177  153;-21,9%;1  4;-63,6%
9;Itagi;BA;5  1;0%;7  0;de 1 para 0;33  32;+6,7%;15  15;-31,8%
0;Dom Basílio;BA;3  1;0%;19  5;-37,5%;170  152;-14,6%;4  7;-36,4%
1;Itapitanga;BA;6  1;0%;2  1;-75%;38  10;-44,4%;5  37;+146,7%
2;Marcionílio Souza;BA;3  1;-66,7%;3  0;de 4 para 0;20  21;-41,7%;15  9;-47,1%
3;Capela do Alto Alegre;BA;0  1;de 0 para 1;3  0;de 5 para 0;74  63;-31,5%;2  2;-33,3%
4;Boa Nova;BA;9  1;-75%;8  1;-75%;59  66;-35,3%;0  2;-50%
5;Ibipitanga;BA;5  1;de 0 para 1;10  0;de 1 para 0;63  74;-44,8%;1  5;-83,3%
6;São Miguel das Matas;BA;3  1;-75%;5  0;de 2 para 0;116  41;-47,4%;0  1;-50%
7;Quixabeira;BA;0  1;0%;2  0;sem incidência;62  79;-32,5%;0  13;de 0 para 13
8;Nova Itarana;BA;1  1;de 0 para 1;0  0;de 4 para 0;15  32;+10,3%;5  21;-4,5%
9;Ubatã;BA;5  1;-80%;12  2;-83,3%;53  59;-16,9%;1  4;-81%
0;Jitaúna;BA;4  1;-50%;7  1;-75%;34  40;-29,8%;0  10;+150%
1;Piritiba;BA;2  1;-66,7%;8  3;0%;81  49;-59,2%;1  10;+25%
2;Antônio Gonçalves;BA;0  1;de 0 para 1;2  1;-50%;27  48;-36%;0  2;0%
3;Milagres;BA;2  1;-66,7%;5  0;de 1 para 0;47  56;-8,2%;6  36;+260%
4;Anguera;BA;3  1;de 0 para 1;3  1;0%;33  16;-44,8%;1  7;+75%
5;Nova Canaã;BA;2  1;-66,7%;8  1;0%;76  72;-41%;0  6;-45,5%
6;Ibiquera;BA;0  1;de 0 para 1;0  0;de 1 para 0;8  25;+31,6%;6  0;de 2 para 0
7;Mulungu do Morro;BA;1  1;0%;6  1;-94,1%;129  56;-68,4%;9  19;+280%
8;Tabocas do Brejo Velho;BA;0  1;-66,7%;4  0;de 3 para 0;73  59;-28,9%;4  0;de 5 para 0
9;Rodelas;BA;1  1;de 0 para 1;1  0;sem incidência;39  28;-45,1%;3  44;-52,2%
0;Cafarnaum;BA;4  1;0%;2  1;-50%;229  60;-67,7%;9  15;0%
1;Caturama;BA;0  1;de 0 para 1;4  1;-50%;114  71;-40,8%;0  9;+50%
2;Itaeté;BA;0  1;de 0 para 1;0  2;+100%;20  39;+34,5%;4  8;-11,1%
3;Canudos;BA;1  1;de 0 para 1;3  0;sem incidência;53  60;-13%;3  7;-22,2%
4;Heliópolis;BA;0  1;0%;4  0;sem incidência;97  101;-17,2%;0  0;de 2 para 0
5;Ouriçangas;BA;4  1;-50%;1  0;de 1 para 0;26  29;+3,6%;0  15;+15,4%
6;Candeal;BA;0  1;0%;4  0;de 1 para 0;60  32;-57,9%;1  4;de 0 para 4
7;Rio do Pires;BA;1  0;sem incidência;2  1;de 0 para 1;103  80;-8%;1  0;de 1 para 0
8;Ipecaetá;BA;1  0;de 1 para 0;2  0;de 3 para 0;86  54;-41,3%;1  3;+200%
9;Caraíbas;BA;1  0;de 1 para 0;4  1;-66,7%;33  57;-23%;0  19;+35,7%
0;Almadina;BA;1  0;de 1 para 0;4  0;de 2 para 0;12  12;-20%;0  29;+93,3%
1;Cipó;BA;2  0;de 1 para 0;3  1;-50%;72  66;+6,5%;0  0;de 6 para 0
2;Elísio Medrado;BA;2  0;de 2 para 0;4  1;-50%;92  39;-26,4%;1  15;+87,5%
3;Botuporã;BA;1  0;sem incidência;0  0;de 1 para 0;62  113;+7,6%;24  2;0%
4;Barra da Estiva;BA;7  0;de 8 para 0;19  4;-42,9%;190  133;-34,8%;5  9;-40%
5;Aiquara;BA;0  0;sem incidência;1  1;-50%;13  22;-8,3%;0  0;de 1 para 0
6;Lagoa Real;BA;1  0;de 2 para 0;2  1;-50%;115  171;-9,5%;29  0;de 1 para 0
7;Pedrão;BA;1  0;de 2 para 0;1  0;sem incidência;16  11;-68,6%;0  2;de 0 para 2
8;Central;BA;1  0;de 1 para 0;5  0;de 4 para 0;200  86;-15,7%;0  5;de 0 para 5
9;Itaguaçu da Bahia;BA;1  0;de 2 para 0;2  0;de 1 para 0;59  88;+37,5%;0  2;de 0 para 2
0;Malhada;BA;0  0;de 1 para 0;3  0;de 9 para 0;57  116;-8,7%;4  2;+100%
1;Quijingue;BA;0  0;de 1 para 0;0  2;-50%;118  102;-45,2%;0  5;de 0 para 5
2;Banzaê;BA;1  0;de 1 para 0;2  0;sem incidência;64  66;-25%;1  0;de 1 para 0
3;Belo Campo;BA;3  0;de 2 para 0;2  3;-25%;63  77;-49,7%;9  23;+64,3%
4;Barra do Rocha;BA;5  0;sem incidência;3  2;0%;24  21;-4,5%;0  3;-50%
5;Ribeirão do Largo;BA;0  0;de 1 para 0;4  0;de 4 para 0;46  30;-25%;2  3;-50%
6;Muniz Ferreira;BA;1  0;de 2 para 0;6  0;de 7 para 0;201  90;-27,4%;0  15;+275%
7;Aporá;BA;1  0;de 1 para 0;3  1;de 0 para 1;54  38;-11,6%;0  17;+1.600%
8;Maetinga;BA;2  0;de 2 para 0;3  0;de 2 para 0;43  47;-20,3%;7  3;-57,1%
9;Ponto Novo;BA;5  0;de 1 para 0;4  0;de 6 para 0;73  106;-22,1%;0  6;-70%
0;Jucuruçu;BA;3  0;de 3 para 0;2  3;+50%;35  17;-43,3%;1  13;+18,2%
1;Licínio de Almeida;BA;1  0;de 6 para 0;1  5;-28,6%;114  107;-27,7%;27  0;sem incidência
2;São Felipe;BA;2  0;de 1 para 0;4  1;-80%;187  174;-16,7%;4  23;+666,7%
3;Cravolândia;BA;3  0;de 2 para 0;5  0;de 2 para 0;13  30;-16,7%;4  0;sem incidência
4;Filadélfia;BA;1  0;de 2 para 0;4  0;de 3 para 0;138  125;-24,2%;4  6;+20%
5;Adustina;BA;0  0;de 1 para 0;1  0;de 1 para 0;100  59;-27,2%;0  22;+69,2%
6;Dom Macedo Costa;BA;1  0;sem incidência;1  1;-50%;42  23;-43,9%;0  0;de 2 para 0
7;Várzea da Roça;BA;0  0;de 5 para 0;3  0;de 2 para 0;107  80;-38,5%;0  21;+110%
8;América Dourada;BA;1  0;de 1 para 0;4  1;-50%;170  87;-46%;0  6;-57,1%
9;Iramaia;BA;1  0;de 3 para 0;2  0;sem incidência;37  41;+2,5%;2  0;sem incidência
0;Acajutiba;BA;1  0;de 1 para 0;1  3;0%;24  33;-5,7%;0  12;+1.100%
1;Itapé;BA;0  0;de 2 para 0;3  1;-66,7%;38  29;-25,6%;1  1;0%
2;Novo Triunfo;BA;1  0;sem incidência;0  0;sem incidência;20  42;-6,7%;0  14;+600%
3;São José da Vitória;BA;1  0;de 5 para 0;2  0;de 2 para 0;13  18;+5,9%;0  1;de 0 para 1
4;Nilo Peçanha;BA;0  0;de 1 para 0;5  0;de 2 para 0;114  32;-52,9%;0  1;-88,9%
5;Santa Teresinha;BA;3  0;de 2 para 0;4  0;de 2 para 0;96  47;-37,3%;5  14;+7,7%
6;Nova Ibiá;BA;0  0;sem incidência;1  2;-33,3%;21  35;-18,6%;0  16;+300%
7;Crisópolis;BA;6  0;de 4 para 0;3  2;0%;54  114;-2,6%;0  11;+57,1%
8;Catolândia;BA;1  0;de 1 para 0;0  0;de 2 para 0;23  23;-36,1%;3  3;de 0 para 3
9;Aramari;BA;3  0;de 2 para 0;7  0;de 1 para 0;34  30;+36,4%;0  0;sem incidência
0;Santa Cruz da Vitória;BA;2  0;de 1 para 0;0  0;de 3 para 0;13  9;-18,2%;10  14;-41,7%
1;Tanquinho;BA;2  0;de 1 para 0;3  1;0%;45  33;-36,5%;2  2;-50%
2;Saúde;BA;0  0;de 1 para 0;2  0;de 3 para 0;89  41;-30,5%;5  2;-33,3%
3;Jussiape;BA;3  0;sem incidência;5  2;+100%;66  56;-37,8%;7  9;-10%
4;Saubara;BA;1  0;de 3 para 0;4  0;de 2 para 0;102  66;-30,5%;0  0;de 1 para 0
5;Novo Horizonte;BA;0  0;sem incidência;4  1;-66,7%;63  57;-21,9%;3  0;sem incidência
6;Itaju do Colônia;BA;4  0;sem incidência;7  2;-50%;17  15;-25%;13  5;-28,6%
7;Tanque Novo;BA;9  0;de 3 para 0;1  1;-50%;100  149;-5,7%;1  1;de 0 para 1
8;Ibititá;BA;0  0;de 1 para 0;3  2;-66,7%;215  149;+1,4%;0  1;-75%
9;Santa Brígida;BA;2  0;de 4 para 0;1  1;-50%;55  54;-6,9%;0  0;sem incidência
0;Aratuípe;BA;0  0;sem incidência;4  0;de 5 para 0;170  43;-60,6%;0  6;0%
1;Jussara;BA;1  0;de 1 para 0;1  1;-50%;219  147;+8,1%;0  0;de 1 para 0
2;Presidente Tancredo Neves;BA;1  0;sem incidência;26  1;-80%;336  187;-36,2%;1  26;+13%
3;Mansidão;BA;0  0;de 1 para 0;0  0;sem incidência;26  19;-40,6%;2  0;de 1 para 0
4;Dário Meira;BA;6  0;de 4 para 0;5  1;-50%;28  23;-17,9%;7  16;+6,7%
5;Nova Redenção;BA;1  0;de 2 para 0;0  0;de 1 para 0;15  17;+30,8%;25  4;0%
6;Tremedal;BA;0  0;de 4 para 0;2  1;-66,7%;81  75;-31,8%;0  7;-12,5%
7;Mirante;BA;1  0;de 4 para 0;6  1;-50%;63  67;-30,2%;0  6;-45,5%
8;Caém;BA;1  0;de 2 para 0;3  1;-66,7%;63  38;-43,3%;0  3;+200%
9;Malhada de Pedras;BA;3  0;de 1 para 0;13  5;-54,5%;130  88;+3,5%;6  10;+400%
0;Chorrochó;BA;0  0;de 4 para 0;0  0;sem incidência;47  37;-21,3%;2  6;-25%
1;Sítio do Quinto;BA;0  0;de 1 para 0;1  1;de 0 para 1;56  72;-17,2%;0  2;+100%
2;Piraí do Norte;BA;0  0;sem incidência;3  0;de 3 para 0;31  47;-28,8%;0  1;-66,7%
3;Ichu;BA;1  0;de 1 para 0;4  1;-50%;41  28;-37,8%;2  0;sem incidência
4;Contendas do Sincorá;BA;3  0;de 3 para 0;2  1;0%;23  14;-41,7%;0  12;+200%
5;Macururé;BA;0  0;de 1 para 0;1  0;sem incidência;28  23;-48,9%;0  0;de 4 para 0
6;Apuarema;BA;1  0;sem incidência;2  0;de 1 para 0;33  44;+33,3%;0  8;-42,9%
7;Abaíra;BA;6  0;sem incidência;4  0;de 2 para 0;53  39;-50%;2  5;+25%
8;Barro Alto;BA;0  0;sem incidência;3  1;-80%;154  122;+27,1%;3  3;0%
9;Érico Cardoso;BA;0  0;sem incidência;7  3;de 0 para 3;104  67;-38,5%;0  7;-68,2%
0;Várzea do Poço;BA;1  0;sem incidência;3  1;de 0 para 1;63  62;-12,7%;6  0;sem incidência
1;Lamarão;BA;0  0;sem incidência;1  0;de 3 para 0;22  22;-8,3%;0  8;de 0 para 8
2;Coronel João Sá;BA;0  0;de 2 para 0;1  0;de 1 para 0;51  40;-57,9%;2  6;+500%
3;Lajedo do Tabocal;BA;2  0;sem incidência;3  1;de 0 para 1;34  34;-17,1%;0  25;0%
4;Caldeirão Grande;BA;1  0;de 2 para 0;0  0;sem incidência;39  55;-3,5%;2  50;+614,3%
5;Rio de Contas;BA;3  0;de 4 para 0;12  5;-44,4%;203  130;-30,9%;0  8;-11,1%
6;Antas;BA;0  0;sem incidência;1  0;sem incidência;43  62;0%;1  38;+660%
