;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
6;São Sebastião do Passé;BA;72  21;-34,4%;38  7;-63,2%;247  234;-5,6%;6  0;sem incidência
7;Conceição do Jacuípe;BA;27  21;-36,4%;21  9;-65,4%;206  313;+15,5%;0  7;+250%
8;Ibirapuã;BA;56  21;-36,4%;13  2;-33,3%;70  70;0%;0  43;+377,8%
9;Paulo Afonso;BA;100  21;-58,8%;87  16;-63,6%;881  853;-5,4%;6  68;+518,2%
0;Seabra;BA;16  21;-25%;28  10;-75%;344  353;-23,4%;17  51;+21,4%
1;Cachoeira;BA;26  20;+5,3%;26  4;-60%;428  182;-44,2%;0  5;0%
2;Cruz das Almas;BA;66  20;-53,5%;57  9;-76,3%;591  560;-10,4%;8  21;-30%
3;Ibicoara;BA;27  19;+11,8%;25  3;-84,2%;120  83;-12,6%;8  13;+8,3%
4;Ipirá;BA;45  19;-9,5%;24  8;-38,5%;262  251;-2,7%;1  8;+700%
5;Santa Cruz Cabrália;BA;22  18;-10%;29  4;-76,5%;85  92;+17,9%;3  7;-22,2%
6;Jaguaquara;BA;8  18;+80%;13  6;-45,5%;149  218;-5,6%;44  38;+5,6%
7;Itabela;BA;24  18;-21,7%;44  8;-46,7%;118  125;+6,8%;0  28;-33,3%
8;Andorinha;BA;20  17;-55,3%;10  7;0%;118  137;-24,3%;0  2;-66,7%
9;Terra Nova;BA;14  17;+21,4%;7  2;-66,7%;46  36;-18,2%;0  46;+4.500%
0;Santo Amaro;BA;34  17;-29,2%;54  9;-65,4%;418  326;+0,6%;3  1;de 0 para 1
1;Amélia Rodrigues;BA;24  16;-23,8%;21  13;-23,5%;192  163;-6,3%;1  5;+400%
2;Água Fria;BA;3  16;+77,8%;3  1;-50%;68  39;-41,8%;0  14;+180%
3;Sobradinho;BA;10  15;+50%;21  8;-11,1%;178  179;-9,6%;0  4;+300%
4;Nazaré;BA;35  14;-36,4%;30  5;-86,1%;508  389;+16,8%;30  20;+5,3%
5;Mutuípe;BA;6  14;0%;35  3;-75%;340  171;-28,7%;5  20;-13%
