;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos
;Setor Econômicoarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward
8;Cultivo de plantas de lavoura temporária não especificadas anteriormente;37  34;-22,7%;25  7;-53,3%;95  69;-5,5%
9;Atividades de apoio à agricultura;40  34;+126,7%;23  4;-63,6%;156  107;+33,7%
0;Limpeza em prédios e em domicílios;99  34;-8,1%;109  23;-73,9%;538  791;+22,6%
1;Tecelagem de fios de fibras artificiais e sintéticas;26  33;-17,5%;14  3;-75%;19  81;+50%
2;Extração de pedra, areia e argila;33  33;-19,5%;30  9;-50%;77  102;+21,4%
3;Fabricação de álcool;68  31;+29,2%;36  7;-12,5%;135  136;+60%
4;Fabricação de artefatos de material plástico não especificados anteriormente;122  30;-41,2%;44  11;-45%;144  149;+10,4%
5;Telecomunicações por fio;10  30;-21,1%;9  5;-58,3%;28  35;+6,1%
6;Criação de aves;25  29;+3,6%;6  1;-66,7%;32  27;-15,6%
7;Atividades de ensino não especificadas anteriormente;58  29;-38,3%;23  3;-72,7%;176  317;+22,9%
8;Armazenamento;47  28;+7,7%;18  4;-60%;65  58;0%
9;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;8  28;+3,7%;2  3;-50%;12  42;+27,3%
